pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.193+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:42.193+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:45.386+07
8256,postgres,postgres,LOG,0.0,,,2025-10-04 21:33:45.387+07
8261,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:45.389+07
8262,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:33:45.401+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.414+07
8261,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.414+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.421+07
8262,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.421+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.431+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.431+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.433+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.433+07
8261,postgres,auditdb,AUDIT_SELECT,0.0,SELECT,"SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'",2025-10-04 21:33:45.436+07
8262,postgres,auditdb,AUDIT_SELECT,0.0,SELECT,"SELECT set_config('bytea_output','hex',false) FROM pg_show_all_settings() WHERE name = 'bytea_output'",2025-10-04 21:33:45.436+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.437+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.438+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.438+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.439+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.439+07
8261,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.439+07
8262,postgres,auditdb,LOG,0.0,,,2025-10-04 21:33:45.440+07
